Time,Section,Index,Line,Word,Misspelled,Triggered
2021-12-15T15:02:17.7571456-05:00,0,5,0,lived,False,False
2021-12-15T15:02:17.8821479-05:00,0,4,0,there,False,False
2021-12-15T15:02:18.0721473-05:00,0,3,0,village,False,False
2021-12-15T15:02:18.3771458-05:00,0,2,0,small,False,False
2021-12-15T15:02:18.5441493-05:00,0,2,0,small,False,False
2021-12-15T15:02:19.3061466-05:00,0,3,0,village,False,False
2021-12-15T15:02:19.9071484-05:00,0,4,0,there,False,False
2021-12-15T15:02:20.4991460-05:00,0,5,0,lived,False,False
2021-12-15T15:02:20.9461469-05:00,0,7,0,potter.,False,False
2021-12-15T15:02:21.1471486-05:00,0,14,1,donkey,False,False
2021-12-15T15:02:21.7391454-05:00,0,15,1,would,False,False
2021-12-15T15:02:22.0181486-05:00,0,12,1,Everyday,False,False
2021-12-15T15:02:22.0861453-05:00,0,11,1,donkey.,False,False
2021-12-15T15:02:22.4201471-05:00,0,10,1,a,False,False
2021-12-15T15:02:23.0121456-05:00,0,11,1,donkey.,False,False
2021-12-15T15:02:23.6381468-05:00,0,12,1,Everyday,False,False
2021-12-15T15:02:24.2301455-05:00,0,11,1,donkey.,False,False
2021-12-15T15:02:24.5881468-05:00,0,12,1,Everyday,False,False
2021-12-15T15:02:24.7661453-05:00,0,20,2,field,False,False
2021-12-15T15:02:24.9791454-05:00,0,21,2,to,False,False
2021-12-15T15:02:25.4481806-05:00,0,17,2,soil,False,False
2021-12-15T15:02:26.4311454-05:00,0,18,2,from,False,False
2021-12-15T15:02:26.9111453-05:00,0,19,2,the,False,False
2021-12-15T15:02:27.1351464-05:00,0,20,2,field,False,False
2021-12-15T15:02:27.7931504-05:00,0,21,2,to,False,False
2021-12-15T15:02:28.0501473-05:00,0,22,2,his,False,False
2021-12-15T15:02:28.5311796-05:00,0,32,3,potter,False,False
2021-12-15T15:02:28.8541469-05:00,0,30,3,off,False,False
2021-12-15T15:02:28.8991451-05:00,0,27,3,was,False,False
2021-12-15T15:02:28.9331801-05:00,0,26,3,field,False,False
2021-12-15T15:02:28.9891458-05:00,0,27,3,was,False,False
2021-12-15T15:02:29.1331485-05:00,0,26,3,field,False,False
2021-12-15T15:02:29.8481460-05:00,0,27,3,was,False,False
2021-12-15T15:02:30.3071471-05:00,0,28,3,quite,False,False
2021-12-15T15:02:30.6751463-05:00,0,29,3,far,False,False
2021-12-15T15:02:30.9211787-05:00,0,30,3,off,False,False
2021-12-15T15:02:31.2901493-05:00,0,31,3,the,False,False
